""," ’»Î","co2","«¯”Ú"
"134",4436.16363636364,2497.62891426364,"2"
"135",4690.29090909091,4238.08665853196,"2"
"136",4963.81818181818,3129.65101889273,"2"
"137",5205.10909090909,2958.14248137636,"2"
"138",5471.50909090909,2819.29455041818,"2"
"139",5787.56363636364,2819.31678130109,"2"
"140",6050.96363636364,3308.54080129636,"2"
"141",6426.43636363636,2802.76537173636,"2"
"142",6849.63636363636,3975.15063354545,"2"
"143",7178.58181818182,3438.33218509764,"2"
"144",7571.41818181818,3449.45048795091,"2"
"145",8006.90909090909,2950.01198088545,"2"
"146",8418.96363636364,3089.96119020927,"2"
"147",8898.25454545455,3255.51885156909,"2"
"148",9422.36363636364,4404.15454503636,"2"
"149",9947.38181818182,3928.33014192,"2"
"150",10240.1636363636,3999.37859352,"2"
"151",10633.3090909091,3269.27968644909,"2"
"152",11172.9636363636,2628.93034162727,"2"
"153",11868.2,4628.27223304364,"2"
"154",12162.7272727273,3829.82391986909,"2"
"155",12698.9454545455,3614.80988598364,"2"
"156",13369.9636363636,3302.01754923455,"2"
"157",14033.2363636364,3980.53853220545,"2"
"158",14727.2363636364,3757.98380499455,"2"
"159",15284.2727272727,2984.21839950364,"2"
"160",15902.6545454545,3301.59562026545,"2"
"161",16703.5090909091,3304.19443198,"2"
"162",17578.7090909091,3572.81745880182,"2"
"163",18258,3413.34503097455,"2"
"164",19080.4909090909,3643.74782437273,"2"
"165",19863.2727272727,4418.94455078364,"2"
"166",20435.9454545455,3976.39302310909,"2"
"167",21169.2727272727,3418.45866171091,"2"
"168",22062.0545454545,4031.32291850364,"2"
"169",22995.6363636364,4123.91577511091,"2"
"170",23896.4,4497.20870917818,"2"
"171",24541.6,3881.10776234545,"2"
"172",25142.8181818182,4280.98980464182,"2"
"173",26129.6181818182,4677.41607311091,"2"
"174",27040.8545454545,3634.11070889636,"2"
"175",28158.1272727273,3850.90660521636,"2"
"176",29410.9454545455,3776.62612856364,"2"
"177",30271.1272727273,4352.59567043636,"2"
"178",31241.2909090909,3566.72976456364,"2"
"179",32452.2181818182,3734.06522521818,"2"
"180",33771.5090909091,4300.41179921273,"2"
"181",35255.5818181818,5348.60423416364,"2"
"182",36385.8181818182,4647.44554284364,"2"
"183",37927.4909090909,4477.85730390545,"2"
"184",39408.7090909091,3844.61082742909,"2"
"185",40860.3090909091,4359.56423015818,"2"
"186",42350.8909090909,5091.56511483636,"2"
"187",44356.7272727273,4552.64326140727,"2"
"188",47225.9454545455,4657.16458184364,"2"
"189",49039.1636363636,4163.51412383455,"2"
"190",50778.1454545455,5066.97070875636,"2"
"191",53223.3090909091,3811.32266670364,"2"
"192",55869.6909090909,4204.26948954727,"2"
"193",59319.5636363636,5263.19184189091,"2"
"194",63027,4645.93637567273,"2"
"195",67842.5454545455,4904.12988411455,"2"
"196",73269.6363636364,5450.64000819273,"2"
"197",79424.2909090909,6636.03112329636,"2"
"198",89912.6727272727,4808.49664380545,"2"
"199",104902.072727273,10528.2818803091,"2"
"200",137032.472727273,6012.66392659091,"2"
